scenario_id,fleet_size,epoch_minutes,weights,temperature,method,trips_served,trips_missed,service_rate_pct,total_energy_kWh,avg_energy_per_trip,avg_wait_sec,total_deadhead_km,wall_time_sec
F10_E2_Wene_Tbas,10,2.0,energy_focused,baseline,milp_fixed,6750,2723,71.26,1002.67,0.1485,208.2,281.9,749.05
F10_E2_Wene_Tbas,10,2.0,energy_focused,baseline,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.59
F10_E2_Wene_Thot,10,2.0,energy_focused,hot_summer,milp_ml,6750,2723,71.26,1002.67,0.1485,208.2,281.9,61.3
F10_E2_Wene_Thot,10,2.0,energy_focused,hot_summer,milp_fixed,6750,2723,71.26,1002.67,0.1485,208.2,281.9,647.85
F10_E2_Wene_Thot,10,2.0,energy_focused,hot_summer,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.23
F10_E2_Wser_Tcol,10,2.0,service_focused,cold_winter,milp_ml,6755,2718,71.31,1002.74,0.1484,258.1,204.04,50.27
F10_E2_Wser_Tcol,10,2.0,service_focused,cold_winter,milp_fixed,6755,2718,71.31,1002.74,0.1484,258.1,204.04,49.48
F10_E2_Wser_Tcol,10,2.0,service_focused,cold_winter,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.19
F10_E2_Wser_Tbas,10,2.0,service_focused,baseline,milp_ml,6755,2718,71.31,1002.74,0.1484,258.1,204.04,48.76
F10_E2_Wser_Tbas,10,2.0,service_focused,baseline,milp_fixed,6755,2718,71.31,1002.74,0.1484,258.1,204.04,48.95
F10_E2_Wser_Tbas,10,2.0,service_focused,baseline,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.19
F10_E2_Wser_Thot,10,2.0,service_focused,hot_summer,milp_ml,6755,2718,71.31,1002.74,0.1484,258.1,204.04,49.06
F10_E2_Wser_Thot,10,2.0,service_focused,hot_summer,milp_fixed,6755,2718,71.31,1002.74,0.1484,258.1,204.04,48.82
F10_E2_Wser_Thot,10,2.0,service_focused,hot_summer,nearest,3488,5985,36.82,921.16,0.2641,1700.6,958.91,1.21
F10_E5_Wbal_Tcol,10,5.0,balanced,cold_winter,milp_ml,6554,2919,69.19,933.88,0.1425,253.4,173.8,35.0
F10_E5_Wbal_Tcol,10,5.0,balanced,cold_winter,milp_fixed,6554,2919,69.19,933.88,0.1425,253.4,173.8,34.97
F10_E5_Wbal_Tcol,10,5.0,balanced,cold_winter,nearest,3296,6177,34.79,823.53,0.2499,1754.5,789.31,0.9
F10_E5_Wbal_Tbas,10,5.0,balanced,baseline,milp_ml,6554,2919,69.19,933.88,0.1425,253.4,173.8,34.99
F10_E5_Wbal_Tbas,10,5.0,balanced,baseline,milp_fixed,6554,2919,69.19,933.88,0.1425,253.4,173.8,34.85
F10_E5_Wbal_Tbas,10,5.0,balanced,baseline,nearest,3296,6177,34.79,823.53,0.2499,1754.5,789.31,0.89
F10_E5_Wbal_Thot,10,5.0,balanced,hot_summer,milp_ml,6554,2919,69.19,933.88,0.1425,253.4,173.8,34.8
F10_E5_Wbal_Thot,10,5.0,balanced,hot_summer,milp_fixed,6554,2919,69.19,933.88,0.1425,253.4,173.8,34.67
F10_E5_Wbal_Thot,10,5.0,balanced,hot_summer,nearest,3296,6177,34.79,823.53,0.2499,1754.5,789.31,0.89
