time_sec,time_str,vehicle_id,status,lat,lon,location,soc,km_today,trips_served,event
25200.0,07:00:00,169,idle,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,initial
25200.0,07:00:00,170,idle,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,initial
25200.0,07:00:00,171,idle,41.835479,-87.627146,Perlstein Hall,0.95,0.0,0,initial
25200.0,07:00:00,172,idle,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,initial
25200.0,07:00:00,173,idle,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,initial
25200.0,07:00:00,174,idle,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,initial
25200.0,07:00:00,175,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,176,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,177,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25200.0,07:00:00,178,idle,41.831886,-87.628445,Chemistry Research Building,0.95,0.0,0,initial
25200.0,07:00:00,179,idle,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,initial
25200.0,07:00:00,180,idle,41.834344,-87.623795,Farr Hall,0.95,0.0,0,initial
25200.0,07:00:00,181,idle,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,initial
25200.0,07:00:00,182,idle,41.836861,-87.6283,Kaplan Institute,0.95,0.0,0,initial
25200.0,07:00:00,183,idle,41.834303,-87.629281,Main Building,0.95,0.0,0,initial
25200.0,07:00:00,184,idle,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,initial
25200.0,07:00:00,185,idle,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,initial
25200.0,07:00:00,186,idle,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,initial
25200.0,07:00:00,187,idle,41.835479,-87.627146,Perlstein Hall,0.95,0.0,0,initial
25200.0,07:00:00,188,idle,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,initial
25200.0,07:00:00,189,idle,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,initial
25200.0,07:00:00,190,idle,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,initial
25200.0,07:00:00,191,idle,41.83604,-87.625535,The Commons,0.95,0.0,0,initial
25200.0,07:00:00,192,idle,41.833032,-87.624633,Alpha Sigma Phi,0.95,0.0,0,initial
25200.0,07:00:00,193,idle,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,initial
25219.87962164497,07:00:19,9,en_route_pickup,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,dispatched_to_Arthur S. Keating Sports Center
25219.87962164497,07:00:19,9,en_route_dropoff,41.838985,-87.625566,Arthur S. Keating Sports Center,0.95,0.0,0,pickup_Arthur S. Keating Sports Center_to_McCormick Student Village
25222.9891381806,07:00:22,14,en_route_pickup,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,dispatched_to_Grover M. Herman Hall
25222.9891381806,07:00:22,14,en_route_dropoff,41.835681,-87.628387,Grover M. Herman Hall,0.95,0.0,0,pickup_Grover M. Herman Hall_to_S.R. Crown Hall
25227.59051753721,07:00:27,4,en_route_pickup,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,dispatched_to_Paul Galvin Library
25227.59051753721,07:00:27,4,en_route_dropoff,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,pickup_Paul Galvin Library_to_Grover M. Herman Hall
25232.594981689337,07:00:32,7,en_route_pickup,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,dispatched_to_S.R. Crown Hall
25232.594981689337,07:00:32,7,en_route_dropoff,41.833199,-87.627273,S.R. Crown Hall,0.95,0.0,0,pickup_S.R. Crown Hall_to_Main Building
25236.472262499876,07:00:36,26,en_route_pickup,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,dispatched_to_Paul Galvin Library
25236.472262499876,07:00:36,26,en_route_dropoff,41.833675,-87.628336,Paul Galvin Library,0.95,0.0,0,pickup_Paul Galvin Library_to_Pritzker Science Center
25239.015545329075,07:00:39,11,en_route_pickup,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,dispatched_to_Cunningham Hall
25239.015545329075,07:00:39,11,en_route_dropoff,41.83774,-87.623975,Cunningham Hall,0.95,0.0,0,pickup_Cunningham Hall_to_Kaplan Institute
25243.590510845595,07:00:43,2,en_route_pickup,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,dispatched_to_McCormick Student Village
25243.590510845595,07:00:43,2,en_route_dropoff,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,pickup_McCormick Student Village_to_Pritzker Science Center
25243.634788718016,07:00:43,24,en_route_pickup,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,dispatched_to_McCormick Student Village
25243.634788718016,07:00:43,24,en_route_dropoff,41.835527,-87.624207,McCormick Student Village,0.95,0.0,0,pickup_McCormick Student Village_to_Perlstein Hall
25243.764377318592,07:00:43,13,en_route_pickup,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,dispatched_to_Rowe Village Middle
25243.764377318592,07:00:43,13,en_route_dropoff,41.833712,-87.626167,Rowe Village Middle,0.95,0.0,0,pickup_Rowe Village Middle_to_S.R. Crown Hall
25245.387071912734,07:00:45,3,en_route_pickup,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,dispatched_to_McCormick Tribune Campus Center
25245.387071912734,07:00:45,3,en_route_dropoff,41.835621,-87.625887,McCormick Tribune Campus Center,0.95,0.0,0,pickup_McCormick Tribune Campus Center_to_Perlstein Hall
25263.188508119863,07:01:03,6,en_route_pickup,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,dispatched_to_Pritzker Science Center
25263.188508119863,07:01:03,6,en_route_dropoff,41.83793,-87.62738,Pritzker Science Center,0.95,0.0,0,pickup_Pritzker Science Center_to_Perlstein Hall
